[0301/221941.921:INFO:CONSOLE:1] "redirect data [object Object]", source: https://platform.moonshot.ai/_next/static/chunks/5429-5147b8d250e7fff1.js (1)
[0301/221943.004:INFO:CONSOLE:1] "[object Object]", source: https://login.moonshot.ai/umi.90a8970b.js (1)
[0301/221943.011:INFO:CONSOLE:1] "[object Object]", source: https://login.moonshot.ai/umi.90a8970b.js (1)
[0301/221943.014:INFO:CONSOLE:1] "[object Object]", source: https://login.moonshot.ai/umi.90a8970b.js (1)
[0301/221943.014:INFO:CONSOLE:1] "useLang [object Object]", source: https://login.moonshot.ai/shared-Kf5YwwNi4mFJ-Ua4M8bBKHQDQYQ_.fc22dbd7.async.js (1)
[0301/221943.015:INFO:CONSOLE:1] "env [object Object]", source: https://login.moonshot.ai/shared-Kf5YwwNi4mFJ-Ua4M8bBKHQDQYQ_.fc22dbd7.async.js (1)
[0301/221943.027:INFO:CONSOLE:1] "[object Object]", source: https://login.moonshot.ai/umi.90a8970b.js (1)
[0301/221943.029:INFO:CONSOLE:1] "[object Object]", source: https://login.moonshot.ai/umi.90a8970b.js (1)
[0301/221943.030:INFO:CONSOLE:1] "useLang [object Object]", source: https://login.moonshot.ai/shared-Kf5YwwNi4mFJ-Ua4M8bBKHQDQYQ_.fc22dbd7.async.js (1)
[0301/221943.030:INFO:CONSOLE:1] "env [object Object]", source: https://login.moonshot.ai/shared-Kf5YwwNi4mFJ-Ua4M8bBKHQDQYQ_.fc22dbd7.async.js (1)
[0301/221943.076:INFO:CONSOLE:1] "light", source: https://login.moonshot.ai/p__user__pages__login__index.599206f6.async.js (1)
